Popularity Ranking,Common Name,Current Botanical Name,Plant Type,Height,Width,Growth Rate,Deciduous / Evergreen,Flowers,Flowering Season,Sun,Soil,Drainage,Water Requirement,Ease of Care,Max Summer Irrigation,Common uses,Availability in Nurseries,Plant Url,QR Codes(change number to change image size in pixels)
1399,Wight' Indian Paint Brush,Castilleja wightii,"Perennial herb,Annual herb",2.6 ft(0.8 m),,,Annual,Yellow,"Spring,Summer",Full Sun,,,,,,Butterfly Gardens,Never or Almost Never Available,//calscape.org/Castilleja-wightii-(),//calscape.org/qrcodes/Castilleja-wightii(192)
2599,California Goldfields,Lasthenia californica ssp. californica,Annual herb,1.6 ft(0.49 m),,,Annual,Yellow,"March, April, May","Full Sun, Part Shade",,,,,,,Rarely Available,//calscape.org/Lasthenia-californica-ssp.-californica-(),//calscape.org/qrcodes/Lasthenia-californica-ssp.-californica(192)
2641,Canyon Gooseberry,Ribes menziesii var. menziesii,Shrub,9.8 ft(3 m),,,Winter Deciduous,"Pink,Red","January, February, March",Part Shade,,,,,,"Hummingbird Gardens,Butterfly Gardens,Bee Gardens",Never or Almost Never Available,//calscape.org/Ribes-menziesii-var.-menziesii-(),//calscape.org/qrcodes/Ribes-menziesii-var.-menziesii(192)
3487,Marin Western Flax,Hesperolinon congestum,Annual herb,,,,Annual,White,"April, May, June, July",,,,,,,,Never or Almost Never Available,//calscape.org/Hesperolinon-congestum-(),//calscape.org/qrcodes/Hesperolinon-congestum(192)
3715,Franciscan Thistle,Cirsium andrewsii,Perennial herb,6.6 ft(2 m),,,Fall Deciduous Winter Deciduous,"Pink,Purple","March, April, May, June, July",,,,,,,,Never or Almost Never Available,//calscape.org/Cirsium-andrewsii-(),//calscape.org/qrcodes/Cirsium-andrewsii(192)
3856,San Francisco Owl's-clover,Triphysaria floribunda,Annual herb,11.8 in(30 cm),,,Annual,"Yellow,White","April, May, June",,,,,,,,Never or Almost Never Available,//calscape.org/Triphysaria-floribunda-(),//calscape.org/qrcodes/Triphysaria-floribunda(192)
4358,Presidio Clarkia,Clarkia franciscana,Annual herb,1.3 ft(0.4 m),,,Annual,Pink,"May, June, July",,,,,,,"Butterfly Gardens,Bee Gardens",Never or Almost Never Available,//calscape.org/Clarkia-franciscana-(),//calscape.org/qrcodes/Clarkia-franciscana(192)
10729,Pigeon Point Coyote Brush,Baccharis pilularis ssp. pilularis 'Pigeon Point',Shrub,1 - 2 ft (0.3 - 0.6 m),6 - 8 ft (1.8 - 2.4 m),Fast,Evergreen,-,-,Full Sun,Tolerates a wide variety of soils,"Fast,Medium,Slow","Low,Moderate",,,"Butterfly Gardens,Bee Gardens,Groundcovers",,//calscape.org/Baccharis-pilularis-ssp.-pilularis-'Pigeon-Point'-(),//calscape.org/qrcodes/Baccharis-pilularis-ssp.-pilularis-'Pigeon-Point'(192)
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
